,batch_id,initial_weight_kg,meat_temp_c,grind_size_mm,water_ratio,fat_ratio,final_weight_kg,yield_loss_ratio
0,1,15.62,-0.6,5,0.12,0.27,13.91,0.109
1,2,24.26,-1.0,5,0.07,0.11,21.8,0.101
2,3,20.98,-2.4,3,0.05,0.13,18.31,0.127
3,4,18.98,1.5,3,0.07,0.22,16.75,0.117
4,5,12.34,0.3,8,0.19,0.15,11.39,0.077
5,6,12.34,3.8,8,0.16,0.29,10.66,0.136
6,7,10.87,-3.7,5,0.2,0.25,9.18,0.155
7,8,22.99,1.8,3,0.06,0.15,20.25,0.119
8,9,19.02,2.9,8,0.15,0.1,16.85,0.114
9,10,20.62,2.8,8,0.06,0.26,19.1,0.074
10,11,10.31,4.0,3,0.17,0.18,9.65,0.064
11,12,24.55,2.6,5,0.11,0.23,21.46,0.126
12,13,22.49,4.4,8,0.06,0.16,19.0,0.155
13,14,13.19,-1.0,8,0.14,0.13,12.23,0.073
14,15,12.73,0.5,3,0.09,0.24,12.08,0.051
15,16,12.75,-3.9,3,0.15,0.19,11.26,0.117
16,17,14.56,-3.9,5,0.15,0.15,13.58,0.067
17,18,17.87,-1.8,5,0.16,0.13,15.45,0.135
18,19,16.48,-3.1,8,0.2,0.22,14.06,0.147
19,20,14.37,-1.7,5,0.11,0.25,12.02,0.164
20,21,19.18,-2.4,8,0.12,0.16,16.41,0.144
21,22,12.09,-3.7,8,0.17,0.25,10.35,0.144
22,23,14.38,4.2,3,0.14,0.14,13.02,0.095
23,24,15.5,-3.9,8,0.06,0.17,14.48,0.066
24,25,16.84,2.6,3,0.18,0.25,15.71,0.067
25,26,21.78,-2.6,8,0.06,0.23,17.6,0.192
26,27,13.0,4.2,8,0.08,0.15,11.13,0.144
27,28,17.71,4.0,8,0.07,0.12,16.54,0.066
28,29,18.89,1.9,5,0.06,0.11,16.5,0.127
29,30,10.7,2.1,5,0.05,0.27,8.94,0.164
30,31,19.11,-4.0,3,0.06,0.12,17.77,0.07
31,32,12.56,4.9,8,0.12,0.12,11.51,0.084
32,33,10.98,3.9,3,0.09,0.15,10.38,0.055
33,34,24.23,4.1,3,0.07,0.19,21.73,0.103
34,35,24.48,1.9,8,0.15,0.26,21.18,0.135
35,36,22.13,-0.9,5,0.08,0.15,20.38,0.079
36,37,14.57,4.0,5,0.05,0.21,13.83,0.051
37,38,11.47,-1.4,3,0.11,0.12,10.13,0.117
38,39,20.26,1.1,5,0.1,0.19,18.16,0.104
39,40,16.6,-3.1,8,0.1,0.14,13.64,0.178
40,41,11.83,4.3,8,0.12,0.14,9.98,0.156
41,42,17.43,-2.7,5,0.15,0.17,16.28,0.066
42,43,10.52,-2.0,5,0.14,0.25,9.89,0.06
43,44,23.64,1.0,3,0.19,0.25,21.82,0.077
44,45,13.88,2.9,5,0.13,0.18,12.65,0.089
45,46,19.94,1.6,3,0.12,0.12,17.89,0.103
46,47,14.68,-1.9,8,0.08,0.16,13.27,0.096
47,48,17.8,-4.0,8,0.16,0.2,15.74,0.116
48,49,18.2,2.8,8,0.07,0.27,16.63,0.086
49,50,12.77,4.9,5,0.12,0.29,11.53,0.097
50,51,24.54,3.3,5,0.11,0.23,23.08,0.059
51,52,21.63,0.1,5,0.15,0.17,19.02,0.121
52,53,24.09,4.1,3,0.19,0.24,22.71,0.057
53,54,23.42,-0.3,3,0.19,0.17,21.72,0.073
54,55,18.97,0.7,3,0.08,0.23,17.82,0.061
55,56,23.83,0.3,8,0.09,0.15,22.28,0.065
56,57,11.33,0.0,3,0.17,0.15,10.82,0.045
57,58,12.94,3.0,5,0.13,0.12,11.84,0.085
58,59,10.68,0.7,5,0.12,0.18,10.03,0.061
59,60,14.88,-1.1,8,0.16,0.22,12.35,0.17
60,61,15.83,-1.7,5,0.14,0.26,14.74,0.069
61,62,14.07,-3.7,5,0.2,0.26,12.95,0.08
62,63,22.43,1.2,5,0.14,0.3,19.06,0.15
